Barrio_Localidad,CANTIDAD_HURTOS,Domingo,Jueves,Lunes,Martes,Miércoles,Sábado,Viernes,TP27_PERSO,TP9_1_USO,TP9_3_1_NO,TP9_3_2_NO,TP9_3_3_NO,TP9_3_4_NO,TP9_3_5_NO,TP9_3_6_NO,TP9_3_7_NO,TP9_3_8_NO,TP9_3_9_NO,TP9_3_10_N,TP9_3_99_N,Num_Colegios,Num_Cai,Distancia_CAI
ALAMEDA-ENGATIVÁ,43,4,6,4,5,7,10,7,2220.0,716.0,0.0,4.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,944.7666872868456
ALAMEDAS DE TIMIZA II-KENNEDY,13,1,1,5,3,1,2,0,1414.0,487.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,950.9171352725166
ALAMOS NORTE-ENGATIVÁ,257,25,50,29,34,39,46,34,5719.0,1808.0,5.0,336.0,115.0,0.0,1.0,2.0,2.0,0.0,0.0,7.0,1.0,5.0,0.0,1059.6130587599314
ALASKA-SUBA,18,1,4,2,4,2,2,3,941.0,329.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1320.6540917481504
ALASKA-USME,21,3,3,4,4,3,3,1,1212.0,358.0,0.0,2.0,4.0,0.0,0.0,18.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,852.142640520674
ALCALA-PUENTE ARANDA,143,12,22,22,21,18,21,27,9579.0,3015.0,7.0,30.0,3.0,0.0,13.0,0.0,1.0,0.0,0.0,4.0,1.0,4.0,0.0,701.7610617532165
ALEJANDRIA-ENGATIVÁ,1,0,0,1,0,0,0,0,659.0,245.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1151.5643593013976
ALFEREZ REAL-KENNEDY,8,0,1,1,2,3,0,1,1311.0,501.0,0.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,596.403429193274
ALFONSO LOPEZ SECTOR BUENOS AIRES-USME,12,2,1,0,5,0,2,2,3313.0,1086.0,0.0,59.0,8.0,0.0,1.0,3.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,338.7542087177061
ALFONSO LOPEZ SECTOR CHARALA-USME,17,0,4,2,2,5,2,2,1890.0,657.0,0.0,17.0,11.0,0.0,0.0,14.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,359.34203303599924
ALFONSO LOPEZ SECTOR EL PROGRESO-USME,17,3,6,0,0,4,1,3,4036.0,1206.0,1.0,67.0,10.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,510.9764059557796
ALFONSO LOPEZ SECTOR LA ALBORADA-USME,14,2,2,0,1,5,1,3,2767.0,915.0,6.0,63.0,19.0,0.0,5.0,5.0,2.0,0.0,0.0,11.0,0.0,1.0,0.0,585.3126063812936
ALFONSO LOPEZ-TEUSAQUILLO,102,5,15,20,14,12,19,17,6408.0,3410.0,18.0,302.0,156.0,0.0,39.0,1.0,1.0,0.0,1.0,13.0,3.0,3.0,0.0,352.6640970236854
ALMIRANTE COLON-SUBA,6,0,0,1,3,1,1,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1168.5258269375365
ALMIRANTE PADILLA-USME,10,2,2,2,1,1,0,2,1904.0,640.0,2.0,8.0,38.0,0.0,9.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,1156.8394606909128
ALMONACID-SUBA,1,1,0,0,0,0,0,0,494.0,171.0,1.0,66.0,13.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,287.18161599747293
ALQUERIA DE LA FRAGUA-KENNEDY,227,11,37,31,33,40,36,39,16595.0,5281.0,90.0,198.0,129.0,1.0,16.0,8.0,2.0,0.0,0.0,5.0,0.0,4.0,0.0,636.1250307005027
ALSACIA-KENNEDY,92,6,12,16,13,14,14,17,8.0,6.0,5.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,707.6781802817171
ALTAMAR II SECTOR-KENNEDY,3,0,0,0,1,1,1,0,280.0,79.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1028.8975453926028
