Barrio_Localidad,Cantidad,Domingo,Jueves,Lunes,Martes,Miércoles,Sábado,Viernes,Coordenadas
EL CERRITO-RAFAEL URIBE,1,0,0,0,0,0,0,1,"[[[-74.12131878000002, 4.561376177999989], [-74.12133749700001, 4.561371613000005], [-74.12163351100003, 4.561465611000016], [-74.121907787, 4.5615126150000265], [-74.12202654999999, 4.561556602999985], [-74.12214998799999, 4.561799840999981], [-74.122167268, 4.561921261000009], [-74.12221911900002, 4.562014298000008], [-74.12226782300002, 4.562225602000012], [-74.12227313, 4.562243009999974], [-74.12210559699997, 4.562328567999998], [-74.12150352700002, 4.562646411000002], [-74.121421064, 4.562566555999978], [-74.12128560299999, 4.562454106000018], [-74.12108324799999, 4.562259415000028], [-74.12117691100002, 4.562103338999975], [-74.12128395399998, 4.56193048], [-74.12104815200001, 4.561720682999975], [-74.120964533, 4.561633409000023], [-74.12106488299997, 4.561541107999971], [-74.12097290399998, 4.561460545999978], [-74.12131878000002, 4.561376177999989]]]"
EL CERRO DEL DIAMANTE-CIUDAD BOLÍVAR,1,0,0,0,0,0,1,0,"[[[-74.17507029699999, 4.585298296000019], [-74.17503067000001, 4.585113553999974], [-74.173830195, 4.582862694000027], [-74.17426342099998, 4.582512613999995], [-74.17438946300001, 4.582418968000013], [-74.17472832099998, 4.582356387999993], [-74.17574475700002, 4.582149226000012], [-74.17647004899999, 4.58202625299998], [-74.176491236, 4.582151179999982], [-74.17659074800002, 4.5821345109999925], [-74.17662389999998, 4.582311484999991], [-74.17667816, 4.582303926999998], [-74.17671588899998, 4.582514092999986], [-74.17679562400002, 4.582501943000011], [-74.17684841599998, 4.582787884000026], [-74.17694792700001, 4.582778770999993], [-74.17697657600002, 4.582945151999979], [-74.17708657399999, 4.582926998999994], [-74.17710318500002, 4.583037450000006], [-74.17713331200002, 4.5832097630000135], [-74.17718757199998, 4.583202206000009], [-74.17722227299998, 4.583379180000008], [-74.177275055, 4.583374658000025], [-74.17729011900002, 4.583477481999978], [-74.17734585699998, 4.58346843999999], [-74.177360991, 4.58357126300001], [-74.17737753199998, 4.583642377999979], [-74.177434818, 4.583633335999991], [-74.17745593500001, 4.583748306000018], [-74.17750118599997, 4.583739193999974], [-74.17753433899998, 4.583904093000001], [-74.177580928, 4.5838949810000145], [-74.17762921600001, 4.584177744999976], [-74.17768347499998, 4.584170185999994], [-74.17770459100001, 4.584274563000008], [-74.17775582500002, 4.584267006000004], [-74.17777391599998, 4.584374419000028], [-74.17758699699999, 4.5844076870000094], [-74.17764028099998, 4.584651468000004], [-74.17734069, 4.584708046000002], [-74.17675115100002, 4.584801142999992], [-74.176155215, 4.58516528299998], [-74.176152683, 4.585166624999999], [-74.176123969, 4.58518428100001], [-74.176115595, 4.585189436999996], [-74.17595675799998, 4.585286403999987], [-74.17556624100001, 4.585352729000021], [-74.17553239, 4.58533331000001], [-74.175307396, 4.5853046440000185], [-74.17507029699999, 4.585298296000019]]]"
EL CHICO-CHAPINERO,149,10,30,26,21,17,21,24,"[[[-74.04384385899999, 4.671369448999996], [-74.04390754899998, 4.6712522029999946], [-74.04502363099999, 4.669038333999992], [-74.04520333800002, 4.668681865999985], [-74.04561491700002, 4.668929165000008], [-74.04572087899999, 4.668992832000014], [-74.046295811, 4.669277001000011], [-74.046670387, 4.669460618000016], [-74.04889607000001, 4.670588533], [-74.05067749599999, 4.671462888999997], [-74.052824794, 4.672529594000025], [-74.05383964700002, 4.673019230000022], [-74.05384219500002, 4.673020767000025], [-74.054876262, 4.6736443539999755], [-74.05497635699999, 4.67370360000001], [-74.05518673400002, 4.67382812400001], [-74.05542110800002, 4.673952010999983], [-74.05562528399997, 4.674058091000006], [-74.05593914399998, 4.674221158000023], [-74.056418684, 4.674472759000025], [-74.056652299, 4.674593742000013], [-74.056743171, 4.674640767000028], [-74.057968727, 4.675274965000028], [-74.05883114199997, 4.675685905000023], [-74.05889646499998, 4.675808286999995], [-74.059098742, 4.675906299000018], [-74.05858808900001, 4.678914971999972], [-74.05857990599998, 4.678963183000007], [-74.05651137900003, 4.678003058999991], [-74.05326973000001, 4.676302561], [-74.05098800399998, 4.675054831000011], [-74.048853146, 4.673943962999999], [-74.046608139, 4.672812018000001], [-74.044898165, 4.6719222589999845], [-74.04384385899999, 4.671369448999996]]]"
EL CODITO-USAQUÉN,93,9,16,14,14,19,7,14,"[[[-74.02399122700001, 4.760257889999991], [-74.02398816200002, 4.760223478999989], [-74.02391411000002, 4.760214254999994], [-74.02378173699998, 4.760215829000003], [-74.02351539799997, 4.760228578999999], [-74.02348190800001, 4.760218973000007], [-74.02336867100001, 4.76023655199998], [-74.02322832300001, 4.760242925], [-74.02322833, 4.760207725999976], [-74.02300026, 4.76025088099999], [-74.022997067, 4.760270079999998], [-74.02296410399998, 4.76027160000001], [-74.02289340099998, 4.760274861000027], [-74.02278980300002, 4.760253481000006], [-74.02208124600003, 4.760249064999982], [-74.021498484, 4.760229664000007], [-74.02116944599999, 4.760214863999976], [-74.021156109, 4.760193094999976], [-74.021069265, 4.760024047000001], [-74.02104822400003, 4.759921039999994], [-74.02113512800003, 4.759775796999974], [-74.02140632599998, 4.7595830480000245], [-74.021477419, 4.759519674999978], [-74.02147742800003, 4.759469495000018], [-74.02143607300002, 4.7593933989999755], [-74.02143005699998, 4.759382328000015], [-74.02141269600003, 4.759365960000025], [-74.02139300599998, 4.759347396999999], [-74.02136819399999, 4.759324004999996], [-74.02134845199998, 4.759305394000023], [-74.021346317, 4.759303380999995], [-74.02134319599998, 4.759300436999979], [-74.021342409, 4.759279203999994], [-74.02134059899998, 4.759230383999977], [-74.021338528, 4.7591745120000155], [-74.021336491, 4.759119574999999], [-74.02133453699997, 4.759066887000017], [-74.02133271999998, 4.759017837999977], [-74.021361394, 4.758997208999971], [-74.02145383700002, 4.758930705000011], [-74.02156179000002, 4.758848850999982], [-74.02160656299998, 4.758751139000025], [-74.02162501200002, 4.758645498000021], [-74.021682941, 4.758584763999977], [-74.02172777700002, 4.75815955500002], [-74.021740954, 4.75808032499998], [-74.021704118, 4.757974672999978], [-74.021659381, 4.757879585000012], [-74.021580416, 4.757810901000027], [-74.02151724200002, 4.757763349000015], [-74.02142255799998, 4.757287932999986], [-74.021375197, 4.757150587000012], [-74.021306788, 4.756941927000013], [-74.021280478, 4.756860046999975], [-74.02138053300001, 4.756778192000013], [-74.021430555, 4.756767636999995], [-74.021517405, 4.7569023500000185], [-74.021656877, 4.757203462000006], [-74.02191488900002, 4.757126920000018], [-74.02241247699999, 4.757000241000014], [-74.02269418399999, 4.7569104969999785], [-74.022675762, 4.756878802000017], [-74.02262049299998, 4.756794275000004], [-74.02254154600001, 4.756625229999997], [-74.02250207100002, 4.7565486299999975], [-74.022946988, 4.7565249439999775], [-74.02308125299999, 4.756519688000025], [-74.023070743, 4.756406117999972], [-74.02309445899999, 4.756287272999998], [-74.02307342900002, 4.7561182389999885], [-74.02304185700001, 4.756020510999974], [-74.02347883499999, 4.756216036000012], [-74.02350836099998, 4.756279457000005], [-74.02361041199998, 4.756498658999987], [-74.02369200200002, 4.756612242000017], [-74.02384729200003, 4.756799789000012], [-74.02402100699999, 4.756997904000002], [-74.02416838599999, 4.757256760000018], [-74.024178189, 4.757276589000014], [-74.02434207300001, 4.757608059000006], [-74.02436348999998, 4.757657320000021], [-74.02424864699998, 4.757682435999981], [-74.023866392, 4.757754991000013], [-74.02353047000003, 4.757818840000027], [-74.02294443, 4.757920277999971], [-74.02294547700001, 4.758020784999985], [-74.02297547400002, 4.758221670000011], [-74.023586207, 4.758116324000013], [-74.024459971, 4.757945791999986], [-74.02451045800001, 4.758160082000017], [-74.02465844, 4.758112524000011], [-74.02481457900001, 4.7583807390000175], [-74.025361283, 4.758174428000018], [-74.025454368, 4.758329632000027], [-74.02578767699998, 4.758854013000018], [-74.02575313300002, 4.758866060000002], [-74.025164373, 4.759094963999984], [-74.024851969, 4.759218452000027], [-74.02490301199998, 4.759323928000014], [-74.02496005199998, 4.75948063200002], [-74.02498406299998, 4.759584596000024], [-74.02500655699998, 4.759766907000027], [-74.02499602300003, 4.759884424999995], [-74.02493442100001, 4.760026040000013], [-74.024854807, 4.760122450999972], [-74.02479922600003, 4.760190240999975], [-74.024827748, 4.76025654], [-74.02491335299999, 4.760250529000018], [-74.02492386300003, 4.760270117000004], [-74.024857779, 4.760291198999993], [-74.024688072, 4.760285140000007], [-74.02448232400002, 4.760276062000002], [-74.02428258100002, 4.760268490999976], [-74.02399122700001, 4.760257889999991]]]"
EL CONDADO DE LA PAZ-KENNEDY,1,1,0,0,0,0,0,0,"[[[-74.12461768200001, 4.635666850000006], [-74.12464818500001, 4.635555914999997], [-74.12471023400002, 4.635249468999973], [-74.12481549, 4.634729632000016], [-74.12481727699998, 4.634720807999997], [-74.12483467300001, 4.634634887999993], [-74.12511629400001, 4.633934409999994], [-74.12585323799999, 4.634294787999977], [-74.12598834200003, 4.634365133000017], [-74.12579186800002, 4.634862096999995], [-74.12536106900001, 4.634644318000027], [-74.12518835999998, 4.635092251000003], [-74.12529454700001, 4.635151451000012], [-74.125614343, 4.635311908999995], [-74.12551977300001, 4.635553141000002], [-74.12528603599998, 4.636156503999984], [-74.125001204, 4.63595373999999], [-74.12488520300002, 4.635868424000023], [-74.12465488100003, 4.635696874000018], [-74.12461768200001, 4.635666850000006]]]"
EL CONSUELO-CIUDAD BOLÍVAR,1,0,0,0,0,0,1,0,"[[[-74.14093678500001, 4.542862286000001], [-74.14128146899998, 4.5428743670000244], [-74.14128611400002, 4.54287450999999], [-74.14174057700001, 4.542904953999993], [-74.14225950299999, 4.542870712000024], [-74.14332409399998, 4.542867408000006], [-74.143325431, 4.542941066000025], [-74.143324516, 4.542957802999978], [-74.14331958600002, 4.543195723999986], [-74.143319583, 4.543433434000007], [-74.14303063400001, 4.543454543999985], [-74.14281008699999, 4.543458919999977], [-74.14279340799999, 4.5434651350000195], [-74.14278095200001, 4.543465346000005], [-74.14128905899997, 4.543492722999985], [-74.141207356, 4.5434869320000075], [-74.14111200100001, 4.543495968999991], [-74.14077871900002, 4.543502107999984], [-74.140817497, 4.543362420999983], [-74.14093678500001, 4.542862286000001]]]"
EL CONSUELO-RAFAEL URIBE,7,0,2,0,2,2,0,1,"[[[-74.12406853200002, 4.562930403999985], [-74.12398042299998, 4.562729434000004], [-74.123435691, 4.563006744999995], [-74.12333556599998, 4.562805775000015], [-74.123119282, 4.562741454999979], [-74.12311928700001, 4.562632932999974], [-74.12309125299998, 4.562544506999984], [-74.12305521100001, 4.5624078469999745], [-74.123043199, 4.562303344999975], [-74.12296710200002, 4.562226973999997], [-74.12289901700001, 4.562122467999984], [-74.12281090599998, 4.561969729999987], [-74.12281086299998, 4.561968395000008], [-74.12280969699998, 4.561932044999991], [-74.122806906, 4.561845129999994], [-74.12273255299999, 4.561544657000013], [-74.122736863, 4.561399972000003], [-74.12271818400001, 4.561251835999996], [-74.12271535100001, 4.5612293710000245], [-74.122739024, 4.561192661000006], [-74.122719663, 4.561039336000021], [-74.122708907, 4.560950796999975], [-74.12271530700002, 4.560628216999987], [-74.12271537700002, 4.560624714000027], [-74.12272614199998, 4.560501623999982], [-74.12293272900001, 4.560484356000017], [-74.12287030700003, 4.5608557859999905], [-74.12287890900001, 4.561009109999986], [-74.12289612199999, 4.561047981999991], [-74.12301453999999, 4.5609855509999875], [-74.12308768999998, 4.5610406100000205], [-74.12317607, 4.561097468000014], [-74.12324405099997, 4.561197532999983], [-74.12366557899998, 4.5609746829999835], [-74.12396472699999, 4.560813230000007], [-74.12416305199997, 4.560714748999998], [-74.12418614500001, 4.5607642639999995], [-74.12484850200002, 4.562184451000007], [-74.12500460199999, 4.563261699000008], [-74.12476665700001, 4.563398131999974], [-74.12427677, 4.563673950000009], [-74.12398170699998, 4.56381533199999], [-74.124012429, 4.563645844000006], [-74.12406853200002, 4.562930403999985]]]"
EL CONSUELO-SANTA FE,4,0,0,1,0,0,1,2,"[[[-74.06795243900001, 4.5822385120000035], [-74.068039242, 4.582158478999986], [-74.06807060199998, 4.582070397999984], [-74.06805181700003, 4.581862765999972], [-74.06804201800003, 4.58181768899999], [-74.06799477800001, 4.581684277000022], [-74.067973365, 4.581606505000024], [-74.067946915, 4.581497753000007], [-74.067906596, 4.5814484310000125], [-74.06786438699999, 4.581395315999998], [-74.06786565599998, 4.581323237999981], [-74.06786565800002, 4.581308063999983], [-74.06795577499997, 4.58116708], [-74.06807551200001, 4.580974885999978], [-74.06815012099997, 4.5808571900000175], [-74.06828746600002, 4.580879692999985], [-74.068320761, 4.580808723000018], [-74.06837728099998, 4.580746370999975], [-74.06838538400001, 4.580734902000017], [-74.06839903000002, 4.580715583000028], [-74.06843079800001, 4.5806747149999865], [-74.068458367, 4.58063924999999], [-74.068502921, 4.5805816280000045], [-74.068554796, 4.580521254000018], [-74.06859843500001, 4.5804649739999945], [-74.06862870100002, 4.580429809000008], [-74.06865375799998, 4.58040149300001], [-74.068685502, 4.580366045000005], [-74.06873892599998, 4.58029528999998], [-74.068788337, 4.580229265000014], [-74.06883950100001, 4.580224821999991], [-74.06886583099998, 4.580144741000026], [-74.068938119, 4.580039102], [-74.06897116300001, 4.579996608999977], [-74.068999566, 4.579960083999992], [-74.06900863099997, 4.579944785000009], [-74.06901906399997, 4.579927177000001], [-74.06904616399999, 4.579888056000015], [-74.06908290500002, 4.579839262000007], [-74.069117253, 4.5798001420000105], [-74.069142032, 4.579738211000005], [-74.069178072, 4.579687015999979], [-74.069198734, 4.5796588079999765], [-74.06922684900002, 4.579620424999973], [-74.06926239500001, 4.579568170000015], [-74.069323139, 4.579492543000014], [-74.06939310199999, 4.579404980999981], [-74.06941654000002, 4.579375959000003], [-74.06941263700003, 4.579326551999997], [-74.069409092, 4.579281679000018], [-74.069409065, 4.579276823999975], [-74.06940895299999, 4.579255948000025], [-74.06940692799998, 4.578880871000023], [-74.069406888, 4.578873492000013], [-74.069395224, 4.578825402999996], [-74.06936130700001, 4.578685565], [-74.06923642200002, 4.578426820999993], [-74.06921967400001, 4.578392119], [-74.06948340999998, 4.577898791999985], [-74.06950647399998, 4.577855648000024], [-74.06954192400002, 4.577789338999991], [-74.06970184099998, 4.577585333999991], [-74.06971868699998, 4.577553008999984], [-74.06979555999999, 4.577405485999975], [-74.06981045100002, 4.577376909999998], [-74.06989287699997, 4.577604453999981], [-74.069907753, 4.57782126699999], [-74.070016108, 4.5782455570000025], [-74.070016103, 4.5782865109999875], [-74.07001610100002, 4.578296399000009], [-74.07002648000002, 4.578426766000006], [-74.070057647, 4.5785297570000125], [-74.07008360999998, 4.578701841999986], [-74.07008878800002, 4.578851762999988], [-74.07006926499997, 4.579171154999983], [-74.070047133, 4.579570068999999], [-74.07005749500001, 4.5798373179999885], [-74.07009126399998, 4.579914237000025], [-74.070197785, 4.579980735999981], [-74.070326394, 4.580023772000004], [-74.07045370100002, 4.580083753999986], [-74.07051994900002, 4.580146336999973], [-74.07056670899999, 4.580233686999974], [-74.070616062, 4.580345807000014], [-74.07071348900001, 4.58041491199998], [-74.07079663100001, 4.580435779000026], [-74.07085119499999, 4.580430571000022], [-74.07103958099998, 4.580324996999991], [-74.071235764, 4.58020899500002], [-74.071412452, 4.580145135999998], [-74.071560557, 4.58011256200001], [-74.07168007799999, 4.58010475399999], [-74.07185545800002, 4.580123024999977], [-74.07191911000001, 4.580171267000025], [-74.072004843, 4.580257318000008], [-74.072063291, 4.580370742000013], [-74.07212561199998, 4.580699268999978], [-74.07213079899998, 4.580786613999976], [-74.07210870099999, 4.580898725999986], [-74.07204112400001, 4.581092962000013], [-74.072016427, 4.581214197999997], [-74.071985246, 4.581229838000012], [-74.071921583, 4.581278065999981], [-74.07167343100002, 4.581437084000015], [-74.07165004199999, 4.581482708999999], [-74.07160715499998, 4.58161437199999], [-74.07159025300001, 4.581731698999988], [-74.07158682, 4.581821459000025], [-74.071447487, 4.581770447999986], [-74.07135568899997, 4.581739183000024], [-74.07115571100002, 4.581602626000005], [-74.070959012, 4.581462778000002], [-74.070759033, 4.581331155999976], [-74.07043119999997, 4.581113979000008], [-74.070341031, 4.581176477999974], [-74.070288549, 4.581391966000012], [-74.07027706299999, 4.581489019999992], [-74.07040489899998, 4.581739072999994], [-74.07043603800003, 4.581803232000027], [-74.07046389499999, 4.581897000000026], [-74.07033929300002, 4.582030229999986], [-74.07023436100002, 4.5821782670000175], [-74.07018353400002, 4.582260510000026], [-74.07014745999999, 4.582336175000023], [-74.07033924199999, 4.582472732999974], [-74.070414798, 4.5825522409999735], [-74.07033811999997, 4.582668794000028], [-74.07030093200001, 4.582813326000007], [-74.07026374499998, 4.582957860000021], [-74.070238184, 4.583018469000023], [-74.07017005199998, 4.583085209999978], [-74.07011985999998, 4.583129326000005], [-74.070108307, 4.583171218000018], [-74.070103399, 4.583363475999988], [-74.07010548599999, 4.583493991000011], [-74.07011080799998, 4.583559507000018], [-74.07010080499998, 4.583643739000024], [-74.07009546699999, 4.583712595999998], [-74.07009928600002, 4.5837495229999945], [-74.070069752, 4.583739105999995], [-74.06997362300001, 4.583708522999984], [-74.06981671800003, 4.583696181999982], [-74.06975941600001, 4.583674269000027], [-74.069682328, 4.583668099000021], [-74.06965367599997, 4.583659880000027], [-74.06967619599999, 4.5835982720000175], [-74.06968574899997, 4.583583212000007], [-74.06966665200002, 4.583544189999997], [-74.06959435099998, 4.583442864999995], [-74.069507724, 4.583333324000022], [-74.06939788300002, 4.583384653999985], [-74.06941426499998, 4.583309353000004], [-74.06940949199998, 4.583286762], [-74.06935151300002, 4.583221720999972], [-74.069331051, 4.583194336000019], [-74.06929900199998, 4.583067686999982], [-74.06928399899999, 4.583014288000015], [-74.06922056600001, 4.582922547999999], [-74.06915030699997, 4.582854082999972], [-74.06906845499998, 4.582752072000005], [-74.06905481299998, 4.582743171999993], [-74.06900979400001, 4.582687032000023], [-74.06900229500002, 4.58264938000002], [-74.06899001900001, 4.582617887000026], [-74.068966149, 4.582552167000017], [-74.06894023299998, 4.582490550999978], [-74.06889932500002, 4.582291337000015], [-74.06874653800003, 4.582069518000025], [-74.06867969400002, 4.5819729859999825], [-74.068674923, 4.581938756999989], [-74.068664695, 4.581896313000015], [-74.06864218999999, 4.581831275000013], [-74.06859853899999, 4.581746383999984], [-74.06857739600002, 4.581708730000002], [-74.06856103400003, 4.5816094649999854], [-74.06851738300003, 4.581529365999983], [-74.06844576399999, 4.58143830900002], [-74.06836800500002, 4.581343145000005], [-74.06829704699999, 4.5814143320000085], [-74.068277938, 4.581474571000001], [-74.068261538, 4.581703215999994], [-74.06825058999999, 4.581984572999999], [-74.06821987400002, 4.5821310669999775], [-74.06814550600001, 4.582204991000026], [-74.06801587799998, 4.582285755999976], [-74.06796334699999, 4.582301493999978], [-74.06795243900001, 4.5822385120000035]]]"
EL CONTADOR-USAQUÉN,45,8,4,4,6,5,10,8,"[[[-74.04127645099999, 4.723690519000001], [-74.04133096300001, 4.722910558000023], [-74.04138234300001, 4.721719747000008], [-74.041417663, 4.720917314000018], [-74.041478585, 4.720069948999992], [-74.041504223, 4.719797124000024], [-74.04156505700001, 4.7194954159999725], [-74.04160987099999, 4.719344564999971], [-74.041673877, 4.719216184999993], [-74.041723214, 4.71912394100002], [-74.04212190800001, 4.718378511000025], [-74.04271394800003, 4.717264820000025], [-74.04325422300002, 4.716231543999981], [-74.04352159799998, 4.716295123000009], [-74.04527321900002, 4.7169335849999925], [-74.04658449599998, 4.717385428], [-74.047043154, 4.717558680000024], [-74.04719257900001, 4.717626170000016], [-74.04713711099998, 4.718118917000026], [-74.04694257400001, 4.719392232000018], [-74.046740092, 4.7207371719999855], [-74.04654555299999, 4.722010486999977], [-74.046350996, 4.723403177000022], [-74.04624807300002, 4.724147089999974], [-74.04614249899998, 4.724131023999973], [-74.04569780600002, 4.724073180000004], [-74.045416273, 4.724047457999972], [-74.04518912499998, 4.72403458399998], [-74.044814814, 4.723999218000017], [-74.04417816400002, 4.723941342999978], [-74.04371747300002, 4.723899543000015], [-74.04227141500002, 4.723774133000006], [-74.04127645099999, 4.723690519000001]]]"
EL CORTIJO-ENGATIVÁ,235,28,39,28,41,34,38,27,"[[[-74.115737867, 4.726139004000003], [-74.11660226800001, 4.725387103999992], [-74.11749322999998, 4.724644974999989], [-74.118426005, 4.723864126000023], [-74.11916257299998, 4.723257515999989], [-74.119561412, 4.72293807699998], [-74.120166106, 4.722389543000019], [-74.12066465599997, 4.721928127000012], [-74.12103133199997, 4.721595778999983], [-74.12213771900002, 4.7229099099999985], [-74.12221367699999, 4.723004892999995], [-74.12371064299998, 4.724876784000002], [-74.12487273800002, 4.726231218999998], [-74.12425640999999, 4.727085046000013], [-74.12327615700002, 4.728292176000024], [-74.12260113000002, 4.729151887], [-74.12158569299999, 4.729511048000006], [-74.12088132299999, 4.730205876000013], [-74.119848257, 4.73094779500002], [-74.11941393900003, 4.730447239], [-74.11877420000002, 4.729705238999997], [-74.11802881900002, 4.7288513500000136], [-74.11725996400003, 4.727926793999984], [-74.11635612100002, 4.726884456999982], [-74.115737867, 4.726139004000003]]]"
EL CORTIJO-USME,19,0,4,4,4,1,2,4,"[[[-74.11595730599998, 4.514173192999976], [-74.11603098299997, 4.514182166000011], [-74.11649626299999, 4.514245889999983], [-74.116963231, 4.514309824999998], [-74.11682307500001, 4.513920202999997], [-74.11668861800001, 4.5135354529999745], [-74.11665371999999, 4.513436017000003], [-74.11687038600002, 4.51345947499999], [-74.11693772900003, 4.513472825999997], [-74.11718789100001, 4.513503346999982], [-74.117298441, 4.5135153580000065], [-74.11748168100002, 4.513534575999983], [-74.11757168399998, 4.513545173000011], [-74.11783563699998, 4.513574423000022], [-74.11785597400001, 4.513591656000016], [-74.11796539699998, 4.513608680999993], [-74.11803590699998, 4.513619559999995], [-74.11804012900001, 4.513619559999995], [-74.11808375999999, 4.513587993999976], [-74.11813323000001, 4.513575001999981], [-74.11818023699999, 4.513567165999973], [-74.11821021499998, 4.513569781000001], [-74.11824919999998, 4.513575007999975], [-74.11828705800002, 4.513586733000011], [-74.118379517, 4.513704392000022], [-74.118572787, 4.514420497000003], [-74.11857954200002, 4.514443448999998], [-74.118579753, 4.514444507999996], [-74.11859643000003, 4.514465341999994], [-74.11861796400001, 4.514447264000011], [-74.11874568399998, 4.514460405000022], [-74.11886031300003, 4.5145179670000175], [-74.119144452, 4.514772993000008], [-74.11919666099999, 4.514903785000001], [-74.11924092100003, 4.514954844999977], [-74.11929637200001, 4.514963958999999], [-74.119334288, 4.515232954999987], [-74.11935103299999, 4.515306613999996], [-74.11894689600001, 4.51538222900001], [-74.11850539400001, 4.515471966999996], [-74.11782821999998, 4.515609643999994], [-74.11716286900003, 4.515741391000005], [-74.11678103899999, 4.5158225850000235], [-74.116624199, 4.515538257999992], [-74.11637159899999, 4.515026596999973], [-74.11616487200001, 4.51464721100001], [-74.11595730599998, 4.514173192999976]]]"
EL CORZO-BOSA,78,6,14,14,8,12,12,12,"[[[-74.192746737, 4.637952919999975], [-74.19330435, 4.638875625000025], [-74.19371057500001, 4.639587317999996], [-74.19384289999999, 4.639819145999979], [-74.19267794400002, 4.640341157000023], [-74.19159620900001, 4.638467702000014], [-74.192665729, 4.638018970000018], [-74.192746737, 4.637952919999975]]]"
EL CURUBO-USME,9,1,0,1,1,4,1,1,"[[[-74.10493744600001, 4.512057444999982], [-74.10478973699998, 4.511054691000026], [-74.10474533799999, 4.511016410000024], [-74.10275944400001, 4.511084988999982], [-74.10283043499999, 4.510241991999976], [-74.102854853, 4.510241429000018], [-74.103627577, 4.51022700499999], [-74.103793859, 4.510223979999977], [-74.103791822, 4.510178994999989], [-74.10483902099998, 4.50962490400002], [-74.10560473700002, 4.509150664999992], [-74.105674545, 4.509118112999999], [-74.10568552299998, 4.509121574999994], [-74.10570585900001, 4.509127932000012], [-74.10580936999997, 4.509160211999983], [-74.10602518899998, 4.509199421999994], [-74.10621694399998, 4.509205506], [-74.10625149600003, 4.50919131400002], [-74.10631508400002, 4.509594280999976], [-74.10633091400001, 4.509652614999993], [-74.10635743, 4.509848943000008], [-74.10638915499999, 4.510013490999995], [-74.10642074499998, 4.5101037470000165], [-74.10642820100003, 4.510150780000003], [-74.10647884600002, 4.510475215999974], [-74.10648425800002, 4.510570836999988], [-74.10649480199999, 4.510745907], [-74.106510636, 4.510745907], [-74.10653715299998, 4.510921119999977], [-74.10654235499999, 4.511016529000016], [-74.10654577899999, 4.511391526000011], [-74.106578635, 4.511479097999995], [-74.10656207199997, 4.511900845000013], [-74.10654630900001, 4.511898936000022], [-74.10654419899998, 4.511898653999992], [-74.10649388500002, 4.511892577000026], [-74.10645841899998, 4.511889821000011], [-74.10619396999999, 4.511898066000014], [-74.10612290199998, 4.511824122000007], [-74.10586380199999, 4.511829612999974], [-74.10574931500003, 4.511777487000017], [-74.10574185600001, 4.511777345999973], [-74.10571258200002, 4.511776779000001], [-74.105709978, 4.511776779000001], [-74.105422239, 4.511770263000016], [-74.10535763799999, 4.511805992000006], [-74.10531105199999, 4.511831766], [-74.10524807000002, 4.511866648000022], [-74.104984172, 4.512061968000011], [-74.10493744600001, 4.512057444999982]]]"
EL DANUBIO AZUL-BOSA,10,3,1,2,2,0,1,1,"[[[-74.18151761000001, 4.622186284999998], [-74.17979397099998, 4.620086861999993], [-74.179720025, 4.620021942999983], [-74.17970607000001, 4.619977063000021], [-74.17965124199998, 4.619902842999977], [-74.17961400899998, 4.619846772000016], [-74.17952659299999, 4.619735052999999], [-74.179399553, 4.619590567999978], [-74.17927251200001, 4.619447424999975], [-74.17917812799999, 4.6193181219999815], [-74.17915758599997, 4.619250505000025], [-74.17915131000001, 4.6192298469999855], [-74.17921887300002, 4.619160846999989], [-74.179358713, 4.619046861000015], [-74.17947484199999, 4.618955848999974], [-74.17953704899998, 4.618907095999986], [-74.17968850199998, 4.618793037999978], [-74.17970018400001, 4.618779619000008], [-74.17984234800002, 4.618683711000017], [-74.18000203499997, 4.618554469999992], [-74.18010337800001, 4.618472121000024], [-74.18015700900003, 4.6185152689999995], [-74.180216411, 4.618562654000015], [-74.180272366, 4.618635179000023], [-74.18038547100002, 4.618776062999984], [-74.180461202, 4.618849151999995], [-74.18052292800002, 4.618899431999977], [-74.18068381799998, 4.618958464000002], [-74.180718727, 4.618964394999977], [-74.18085040800003, 4.61899998299998], [-74.181021784, 4.6190181260000145], [-74.18119308799999, 4.619022214999972], [-74.18135742499999, 4.619036827000002], [-74.18149142800002, 4.61902573399999], [-74.18169651199997, 4.618958424000027], [-74.181744046, 4.618948375000002], [-74.18185200200003, 4.618925552000007], [-74.18185387900002, 4.618925155999988], [-74.18186613199998, 4.618922323999981], [-74.18190336800001, 4.6198288229999775], [-74.18197507299999, 4.621454513999992], [-74.182720034, 4.621190221000006], [-74.182741593, 4.621886945000028], [-74.18306723400002, 4.621760009000013], [-74.183454772, 4.621624967999991], [-74.183868013, 4.621469452999974], [-74.18395317099998, 4.621600618999991], [-74.18409318200003, 4.621812440999974], [-74.18408821100002, 4.621854852000012], [-74.18392241800001, 4.621924236999973], [-74.18372134999998, 4.622014859999978], [-74.183457492, 4.622126723000008], [-74.18329663700001, 4.622196815999984], [-74.18310967899998, 4.622277526999994], [-74.18308921900001, 4.622293103000004], [-74.183072992, 4.622290979000013], [-74.18291919299998, 4.622359655000025], [-74.18283947100002, 4.622400717999994], [-74.18281407299997, 4.622401426999999], [-74.18261723799998, 4.622489926000014], [-74.182572086, 4.622517537000021], [-74.18255727000002, 4.622517538000011], [-74.18248036900002, 4.622552229999996], [-74.182129734, 4.622703740000019], [-74.18209798700002, 4.622729226999979], [-74.18197147900003, 4.622736979000023], [-74.18151761000001, 4.622186284999998]]]"
